AtomicNumber,ElectronAffinity_eV
1,0.754
2,-0.5
3,0.618
4,
5,0.277
6,1.263
7,-0.07
8,1.461
9,3.399
10,-1.2
11,0.548
12,
13,0.441
14,1.385
15,0.747
16,2.077
17,3.617
18,-1.0
19,0.502
20,0.02
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,0.3
32,1.2
33,0.81
34,2.021
35,3.365
36,-1.0
